agency,template,pid,cloudfront_ok_count,cloudfront_error_count,paced_count,ok_ratio,paced_ratio
zilmtech,id1509453185,kimia_int,281037,0,0,1,0
zilmtech,com.dubox.drive,kimia_int,4122648,6831862,5950665,0.2438620542142819,0.35199255207842867
yeahagency,id1440255819,kimia_int,5946750,0,41295,0.9930707566358351,0.006896011585366261
xlmediaplc,kxkx,kimia_int,709714,0,0,0.9995282015748209,0
webmediail626,9nta,kimia_int,16176043,0,916715,0.5872712916408855,0.03328134093836017
trafficicoil456,id1594248922,kimia_int,6989297,0,140588,0.9802359506769708,0.01971720644204617
trafficicoil456,id6447609470,kimia_int,5976328,0,6227,0.998871484252258,0.0010407682999391617
traffic4yoil300,com.allstarunion.nod,kimia_int,64,0,0,0.9014084507042254,0
threespring,id6478658633,kimia_int,4077596,1296321,393718,0.7069341192787795,0.06825901525658808
threespring,id1610739194,kimia_int,5749099,0,32774,0.9942667646677331,0.005668035799213109
thingortwo,id6443920392,kimia_int,2298682,0,22716,0.9901509639908216,0.009784854668029551
thingortwo,qdgt,kimia_int,2693194,63646439,130579596,0.01367620465239702,0.663091213749668
tatanka,id346080608,kimia_int,2255193,2468495,654894,0.41926915091970113,0.12175314987338412
strongmetrin747,id1615252925,kimia_int,9128500,9477521,4905951,0.38822850844635703,0.20864655082882333
strongmetrin747,wfpv,kimia_int,6019,7550456,12313243,0.0003029118693039207,0.6196756029778063
strongmetrin747,oixh,kimia_int,15802624,10217139,9420155,0.4458438481875027,0.2657734662118611
spartacs,com.balkanixltd.donro,kimia_int,456635,0,7485,0.9837879179593244,0.01612590486039297
spartacs,id505521160,kimia_int,17836616,0,507852,0.9722505531132938,0.027682346690633047
spartacs,id1274057509,kimia_int,13465651,0,0,0.9998720611754006,0
spartacs,com.casino.online.princess,kimia_int,347292,0,431,0.9986800900644427,0.0012393925538675661
spartacs,id6447609470,kimia_int,87352,0,0,1,0
spartacs,id6711353682,kimia_int,485813,0,0,0.9999979415990482,0
spartacs,id6469348664,kimia_int,109374,325527,2715,0.24990860401776738,0.006203502294039154
spartacs,id1488296980,kimia_int,3685344,3968551,1832817,0.38845405186162796,0.19318825867296877
spartacs,com.cgsi.boylesportsnew,kimia_int,32239767,1,866805,0.9737515578174301,0.026180484464231317
sidelinesinappa,kxkx,kimia_int,46653,825337,4157382,0.00927595903570428,0.8266071877001336
sidelinesinappa,3un4,kimia_int,24288748,62129563,187610507,0.08863196498327802,0.6846086874020446
sidelinesinappa,t5is,kimia_int,4870227,128558466,770802985,0.0053859544171340045,0.8524263328589871
sidelinesinappa,vgwg,kimia_int,1483016,0,735,0.8727843698541294,0.00043256209767311016
nexamobadsro438,id6504173967,kimia_int,1842594,0,0,1,0
nexamobadsro438,id1610739194,kimia_int,2398370,0,0,0.9999991661010051,0
nexamobadsro438,id6447609470,kimia_int,13283,0,0,1,0
nexamobadsro438,id6478658633,kimia_int,2405569,0,0,0.9999991685965619,0
msalesltdes804,org.bet22.client-custom,kimia_int,18172212,19979775,8103047,0.39284739003817054,0.17517189791240756
msalesltdes804,id1612955305,kimia_int,12004940,0,10678,0.9990477167713446,0.0008886201446808078
msalesltdes804,com.youhodler.youhodler,kimia_int,47751308,55464469,13503249,0.40908909559663675,0.11568336350129278
msalesltdes804,com.exness.android.pa,kimia_int,54866993,55788316,20423737,0.4185565111818576,0.15580383827515057
msalesltdes804,id1359763701,kimia_int,22815218,24576075,8586897,0.4075528112122307,0.1533894618907376
msalesltdes804,id6475769800,kimia_int,29995511,0,928244,0.9699214989728611,0.03001528501690018
mobuppagency,com.joinroot.root,kimia_int,14065440,15507342,7674419,0.3776053653131045,0.20602994218885654
mobuppagency,id1021256908,kimia_int,2099438,2423783,76096,0.4564398509955444,0.016544068889558512
mobuppagency,1flb,kimia_int,22367998,12,728057,0.9656081497196982,0.031429624263220796
mobshakein350,whg7,kimia_int,9539975,24569005,18788799,0.18033253785178546,0.35516149747322073
mobileadedil423,3un4,kimia_int,1964424,4302486,11270758,0.1120027011683682,0.6426083881152925
mobileadedil423,vgwg,kimia_int,248092,0,0,0.9996695866609717,0
mediatroopers,vgwg,kimia_int,1320933,35656,0,0.973330425229179,0
lunsag,id843703316,kimia_int,22355267,0,636166,0.972268011707611,0.027667925054797336
lambadapp,t0rq,kimia_int,145638,13306046,100088737,0.0012816354752137544,0.8807953693990545
iwavedigitin572,id6745866031,kimia_int,32551664,20023860,8295304,0.5347437888453844,0.13627144500460167
iwavedigitin572,id1488296980,kimia_int,52533454,42882879,15478101,0.4737038561241819,0.13956889507359552
interactiveaflt,5kut,kimia_int,2758132,0,3741,0.9984278590756478,0.0013542204001846172
interactiveaflt,ckou,kimia_int,2728569,0,3829,0.998377243502022,0.001401022464657937
gowithmedia,id1440255819,kimia_int,8867988,1,675111,0.9291986939229192,0.07073896124498544
gowithmedia,r9ga,kimia_int,44417878,31998837,0,0.5811241492770716,0
gowithmedia,com.romixltd.betinia,kimia_int,3130614,3425428,2298727,0.35353504668965813,0.25959142751925907
gowithmedia,id1623843519,kimia_int,6269610,8280957,3016415,0.3568777030400415,0.1716998755290244
gowithmedia,id489262811,kimia_int,3209502,2235429,627340,0.528526585060039,0.10330757478000166
gowithmedia,id1495077102,kimia_int,30696255,9267651,5298239,0.6781472444797272,0.11704965893868893
gowithmedia,com.moomoo.trade,kimia_int,9298245,0,657237,0.9339286494500081,0.0660137976337013
gowithmedia,id743974925,kimia_int,23708369,1652,0,0.9999249266632614,0
gowithmedia,app.snoop,kimia_int,43582643,2,974279,0.9780687554102739,0.021864480521577506
gowithmedia,id673354210,kimia_int,2142394,0,0,1,0
gdcgroupil730,t5is,kimia_int,1096373,35914286,43430059,0.013629126982075851,0.5398835879304271
fuelmyappin771,platiza.ru,kimia_int,284,0,0,0.8765432098765432,0
fuelmyappin771,com.mpokket.app,kimia_int,34045681,38587097,10315669,0.4104209639003738,0.12435547446553367
fuelmyappin771,id844035425,kimia_int,14289035,75,0,0.9999931416412738,0
fuelmyappin771,ehy6,kimia_int,101815762,84108509,125142216,0.3272890833489425,0.4022725004297013
fantasyadvantage,t5is,kimia_int,79,863,57,0.07907907907907907,0.057057057057057055
exactlydigital,id6648793789,kimia_int,2175026,0,0,0.999992184062568,0
exactlydigital,id6746437949,kimia_int,5493512,0,324202,0.9442074072037016,0.055722810804864804
dlabagency,r9ga,kimia_int,4578396,0,220814,0.5899936302178445,0.02845513001997274
digimodoadin391,com.primecasino.www,kimia_int,771841,0,0,0.9999339285806823,0
digimodoadin391,com.megacasino.www,kimia_int,770958,0,0,0.9999105089705029,0
digimodoadin391,id1229464784,kimia_int,206490,564814,0,0.2676925470267187,0
digimodoadin391,id1229445985,kimia_int,206906,564727,0,0.2681209658294987,0
bonnieads,pssi,kimia_int,0,0,1482355,0,0.1566384478543717
bonnieads,3065804798,kimia_int,13737436,6337059,10754678,0.44509477995270164,0.3484530182977494
appboomboxin690,id6504173967,kimia_int,162512,0,0,1,0
appboomboxin690,com.mpokket.app,kimia_int,0,996,0,0,0
appboomboxin690,id6746644042,kimia_int,154824,0,0,1,0
appboomboxin690,id1488296980,kimia_int,10109737,11688215,3287484,0.4029919522685669,0.13104491197067514
anyminddirin942,com.prasarbharati.android,kimia_int,29,55,0,0.2636363636363636,0
adstartmediapte,id743974925,kimia_int,14957150,3913499,1815167,0.7230163570598622,0.08774368324147842
acquirebet,id673354210,kimia_int,7217910,13045394,3658768,0.3017128247481839,0.15293862466811908
acquirebet,com.h5g.high5casino,kimia_int,7561715,13801146,3734883,0.3012775894334517,0.14880705594643256
abbykiko,id905953485,kimia_int,3577254,2674248,650823,0.5182356899527797,0.094284528423796
abbykiko,com.nordvpn.android,kimia_int,7482301,489868,114203,0.9252398670092299,0.014122015210568925
abbykiko,id6504173967,kimia_int,1909898,0,0,0.9999963348962383,0
5startraffic,t5is,kimia_int,4357422,202831596,1161089367,0.0031845657629896566,0.8485672138065885
